"keys","ko","en"
"잠김","잠김","Locked"
"개발자 메뉴","개발자 메뉴","Developer Menu"
"코드","코드","Code"
"닫기","닫기","Close"
"열기","열기","Open"
"코드가 다릅니다","코드가 다릅니다","Wrong code"
"누른 즉시 반영되고 바로 저장됩니다.","누른 즉시 반영되고 바로 저장됩니다.","Applies and saves the moment you press it."
"재화","재화","Currency"
"고철 +999만","고철 +999만","Scrap +9,990,000"
"고철 %s","고철 %s","Scrap %s"
"캣닢 · 츄르 · 통조림 +9999","캣닢 · 츄르 · 통조림 +9999","Catnip · Churu · Canned Food +9999"
"캣닢/츄르/통조림 충전","캣닢/츄르/통조림 충전","Catnip / Churu / Canned Food topped up"
"부품 전 종류 +999","부품 전 종류 +999","All part types +999"
"탄약 · 구급약 보충","탄약 · 구급약 보충","Restock ammo · medkits"
"탄약 2000 · 구급약 +20","탄약 2000 · 구급약 +20","Ammo 2000 · Medkits +20"
"메타 해금","메타 해금","Meta Unlocks"
"모든 시설 해금","모든 시설 해금","Unlock all facilities"
"시설 전부 해금","시설 전부 해금","All facilities unlocked"
"쉘터 티어 최대 · 전 구역 개방","쉘터 티어 최대 · 전 구역 개방","Max shelter tier · open all zones"
"쉘터 티어 %d · 출정 가능 구역 %d곳","쉘터 티어 %d · 출정 가능 구역 %d곳","Shelter Tier %d · %d zones open for sortie"
"모든 무기 지급","모든 무기 지급","Grant all weapons"
"무기 %d종 지급","무기 %d종 지급","Granted %d weapons"
"주홍 즉시 해금 (정상: 4번째 출정부터)","주홍 즉시 해금 (정상: 4번째 출정부터)","Unlock Juhong now (normally: 4th sortie)"
"주홍 동행 해금","주홍 동행 해금","Juhong unlocked"
"주민 5명 영입","주민 5명 영입","Recruit 5 residents"
"주민 +%d명(정원 여유만큼)","주민 +%d명(정원 여유만큼)","Residents +%d (up to free capacity)"
"판 조작","판 조작","Run Controls"
"위험도 90%로","위험도 90%로","Threat to 90%"
"위험도 90% — 곧 처형자가 온다","위험도 90% — 곧 처형자가 온다","Threat 90% — the Executioner is coming"
"위험도 0%로","위험도 0%로","Threat to 0%"
"위험도 초기화","위험도 초기화","Threat reset"
"체력 회복","체력 회복","Restore health"
"체력 %d","체력 %d","Health %d"
"엘리트 소환(눈앞)","엘리트 소환(눈앞)","Spawn elite (in front)"
"필드에서만 됩니다","필드에서만 됩니다","Field only"
"적 디렉터를 찾지 못했습니다","적 디렉터를 찾지 못했습니다","Enemy director not found"
"레벨 +5 (선택권 지급)","레벨 +5 (선택권 지급)","Level +5 (grant picks)"
"레벨 %d · 선택권 %d","레벨 %d · 선택권 %d","Level %d · Picks %d"
"초기화","초기화","Reset"
"이번 판만 초기화(reset_run)","이번 판만 초기화(reset_run)","Reset this run only (reset_run)"
"판 상태 초기화 — 쉘터로 나갔다 오면 반영","판 상태 초기화 — 쉘터로 나갔다 오면 반영","Run state reset — applies after a shelter round trip"
"전체 삭제 후 오프닝부터 새로 시작","전체 삭제 후 오프닝부터 새로 시작","Wipe everything and restart from the opening"
"전체 초기화 — 오프닝부터 다시 시작","전체 초기화 — 오프닝부터 다시 시작","Full reset — restarting from the opening"
"클릭","클릭","Click"
"빨리 넘기기","빨리 넘기기","Skip"
"사망","사망","K.I.A."
"작전 실패","작전 실패","Operation Failed"
"치명상 원인 확인 중","치명상 원인 확인 중","Checking cause of death"
"처치","처치","Kills"
"생존 시간","생존 시간","Survived"
"가한 피해","가한 피해","Damage Dealt"
"손실 가치","손실 가치","Value Lost"
"현장에 남긴 휴대품","현장에 남긴 휴대품","Left On Site"
"0종","0종","0 kinds"
"장비(무기·방어구·부착물)는 전부 남고 가방의 재료·탄약·귀중품만 잃습니다. 다음 탐사에서 사망 지점의 가방을 한 번 회수할 수 있습니다.","장비(무기·방어구·부착물)는 전부 남고 가방의 재료·탄약·귀중품만 잃습니다. 다음 탐사에서 사망 지점의 가방을 한 번 회수할 수 있습니다.","Gear (weapons, armor, attachments) all stays with you; only bag materials, ammo and valuables are lost. Next sortie you can recover the bag at the death site once."
"쉘터로","쉘터로","To Shelter"
"SPACE 또는 화면 터치  ·  쉘터로 복귀","SPACE 또는 화면 터치  ·  쉘터로 복귀","SPACE or tap screen  ·  Return to shelter"
"탄약","탄약","Ammo"
"부품","부품","Parts"
"부착물","부착물","Attachments"
"구급약","구급약","Medkit"
"통조림","통조림","Canned Food"
"츄르","츄르","Churu"
"봉인된 지하철 화물","봉인된 지하철 화물","Sealed Subway Cargo"
"분실한 휴대품이 없습니다.","분실한 휴대품이 없습니다.","Nothing was left behind."
"없음","없음","None"
"%d종","%d종","%d kinds"
"휴대품","휴대품","Carried item"
"치명상 · %s  /  %s","치명상 · %s  /  %s","Fatal wound · %s  /  %s"
